number_id,value,where_in_paper,quoted_context,source_file,source_sheet_or_column,computing_script,model,decision_type,basis_notes,status
D1_LU_tau_Overall,0.925,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline tau Overall,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; tau,Analysis/pass5/d1_lookup_baseline.py,model-free,Overall,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_top1_Overall,94.4,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline top1 Overall,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; top1,Analysis/pass5/d1_lookup_baseline.py,model-free,Overall,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_mae_Overall,0.040,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline mae Overall,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; mae,Analysis/pass5/d1_lookup_baseline.py,model-free,Overall,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_tau_HVAC,0.971,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline tau HVAC,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; tau,Analysis/pass5/d1_lookup_baseline.py,model-free,HVAC,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_top1_HVAC,97.1,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline top1 HVAC,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; top1,Analysis/pass5/d1_lookup_baseline.py,model-free,HVAC,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_mae_HVAC,0.029,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline mae HVAC,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; mae,Analysis/pass5/d1_lookup_baseline.py,model-free,HVAC,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_tau_Appliance,0.959,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline tau Appliance,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; tau,Analysis/pass5/d1_lookup_baseline.py,model-free,Appliance,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_top1_Appliance,100.0,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline top1 Appliance,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; top1,Analysis/pass5/d1_lookup_baseline.py,model-free,Appliance,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_mae_Appliance,0.057,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline mae Appliance,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; mae,Analysis/pass5/d1_lookup_baseline.py,model-free,Appliance,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
D1_LU_tau_Shower,0.833,paper/paper_draft_v2.tex:796 (new table row) / paper/paper_draft_v2.tex:808 (new paragraph) / paper/supplementary.tex:1334 (new subsection),label-lookup/text-parse baseline tau Shower,Analysis/pass5/d1_baseline_per_scenario.csv,baseline==LU; tau,Analysis/pass5/d1_lookup_baseline.py,model-free,Shower,deterministic non-LLM parameters through the reference calculators (hab harness); mean over scenarios; Top-1 in %,new (proposed in D1_REPORT.md; not yet in paper)
