param,scenario_id,parsed,true,match
occupancy_context,1,occupied_all_day,occupied_all_day,True
occupancy_context,2,occupied_all_day,occupied_all_day,True
occupancy_context,3,occupied_all_day,occupied_all_day,True
occupancy_context,4,occupied_all_day,occupied_all_day,True
occupancy_context,5,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,6,occupied_all_day,occupied_all_day,True
occupancy_context,7,occupied_all_day,occupied_all_day,True
occupancy_context,8,occupied_all_day,occupied_all_day,True
occupancy_context,9,occupied_all_day,occupied_all_day,True
occupancy_context,10,occupied_all_day,occupied_all_day,True
occupancy_context,11,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,12,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,13,unoccupied_8hr,unoccupied_12hr,False
occupancy_context,14,occupied_all_day,occupied_all_day,True
occupancy_context,15,unoccupied_4hr,unoccupied_4hr,True
occupancy_context,16,unoccupied_4hr,unoccupied_4hr,True
occupancy_context,17,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,18,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,19,occupied_all_day,occupied_all_day,True
occupancy_context,20,unoccupied_4hr,unoccupied_4hr,True
occupancy_context,21,occupied_all_day,occupied_all_day,True
occupancy_context,22,occupied_all_day,standard,True
occupancy_context,23,occupied_all_day,standard,True
occupancy_context,24,occupied_all_day,standard,True
occupancy_context,25,occupied_all_day,standard,True
occupancy_context,26,occupied_all_day,standard,True
occupancy_context,27,occupied_sleep,overnight_sleep,True
occupancy_context,28,occupied_all_day,occupied_all_day,True
occupancy_context,29,occupied_all_day,occupied_all_day,True
occupancy_context,30,unoccupied_4hr,unoccupied_4hr,True
occupancy_context,31,unoccupied_4hr,unoccupied_4hr,True
occupancy_context,32,occupied_all_day,occupied_all_day,True
occupancy_context,33,unoccupied_8hr,unoccupied_12hr,False
occupancy_context,34,unoccupied_4hr,unoccupied_4hr,True
occupancy_context,35,unoccupied_8hr,unoccupied_12hr,False
occupancy_context,36,occupied_all_day,standard,True
occupancy_context,37,occupied_all_day,standard,True
occupancy_context,38,occupied_all_day,standard,True
occupancy_context,39,occupied_all_day,occupied_all_day,True
occupancy_context,40,occupied_all_day,standard,True
occupancy_context,41,occupied_all_day,occupied_all_day,True
occupancy_context,42,occupied_all_day,occupied_all_day,True
occupancy_context,43,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,44,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,45,occupied_sleep,overnight_sleep,True
occupancy_context,46,occupied_sleep,overnight_sleep,True
occupancy_context,47,occupied_sleep,overnight_sleep,True
occupancy_context,48,occupied_all_day,standard,True
occupancy_context,49,occupied_sleep,overnight_sleep,True
occupancy_context,50,occupied_all_day,occupied_all_day,True
occupancy_context,51,occupied_all_day,standard,True
occupancy_context,52,occupied_all_day,standard,True
occupancy_context,53,occupied_all_day,occupied_all_day,True
occupancy_context,54,occupied_all_day,occupied_all_day,True
occupancy_context,55,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,56,occupied_all_day,occupied_all_day,True
occupancy_context,57,occupied_all_day,occupied_all_day,True
occupancy_context,58,occupied_all_day,occupied_all_day,True
occupancy_context,59,unoccupied_4hr,unoccupied_4hr,True
occupancy_context,60,occupied_all_day,occupied_all_day,True
occupancy_context,61,occupied_all_day,occupied_all_day,True
occupancy_context,62,occupied_all_day,standard,True
occupancy_context,63,unoccupied_8hr,unoccupied_8hr,True
occupancy_context,64,occupied_all_day,occupied_all_day,True
occupancy_context,65,occupied_sleep,overnight_sleep,True
occupancy_context,66,occupied_all_day,occupied_all_day,True
occupancy_context,67,unoccupied_4hr,unoccupied_4hr,True
occupancy_context,68,occupied_all_day,standard,True
occupancy_context,69,occupied_all_day,occupied_all_day,True
occupancy_context,70,unoccupied_8hr,unoccupied_12hr,False
baseline_time,71,2:00 PM,2:00 PM,True
baseline_time,72,7:00 PM,7:00 PM,True
