scenario_id,decision_type,matched,max_abs_score_diff,ranks_identical
1,HVAC,True,0.0,True
2,HVAC,True,0.0,True
3,HVAC,True,0.0,True
4,HVAC,True,0.0,True
5,HVAC,True,0.0,True
6,HVAC,True,0.0,True
7,HVAC,True,0.0,True
8,HVAC,True,0.0,True
9,HVAC,True,0.0,True
10,HVAC,True,0.0,True
11,HVAC,True,0.0,True
12,HVAC,True,0.0,True
13,HVAC,True,0.0,True
14,HVAC,True,0.0,True
15,HVAC,True,0.0,True
16,HVAC,True,0.0,True
17,HVAC,True,0.0,True
18,HVAC,True,0.0,True
19,HVAC,True,0.0,True
20,HVAC,True,0.0,True
21,HVAC,True,0.0,True
22,HVAC,True,0.0,True
23,HVAC,True,0.0,True
24,HVAC,True,0.0,True
25,HVAC,True,0.0,True
26,HVAC,True,0.0,True
27,HVAC,True,0.0,True
28,HVAC,True,0.0,True
29,HVAC,True,0.0,True
30,HVAC,True,0.0,True
31,HVAC,True,0.0,True
32,HVAC,True,0.0,True
33,HVAC,True,0.0,True
34,HVAC,True,0.0,True
35,HVAC,True,0.0,True
36,HVAC,True,0.0,True
37,HVAC,True,0.0,True
38,HVAC,True,0.0,True
39,HVAC,True,0.0,True
40,HVAC,True,0.0,True
41,HVAC,True,0.0,True
42,HVAC,True,0.0,True
43,HVAC,True,0.0,True
44,HVAC,True,0.0,True
45,HVAC,True,0.0,True
46,HVAC,True,0.0,True
47,HVAC,True,0.0,True
48,HVAC,True,0.0,True
49,HVAC,True,0.0,True
50,HVAC,True,0.0,True
51,HVAC,True,0.0,True
52,HVAC,True,0.0,True
53,HVAC,True,0.0,True
54,HVAC,True,0.0,True
55,HVAC,True,0.0,True
56,HVAC,True,0.0,True
57,HVAC,True,0.0,True
58,HVAC,True,0.0,True
59,HVAC,True,0.0,True
60,HVAC,True,0.0,True
61,HVAC,True,0.0,True
62,HVAC,True,0.0,True
63,HVAC,True,0.0,True
64,HVAC,True,0.0,True
65,HVAC,True,0.0,True
66,HVAC,True,0.0,True
67,HVAC,True,0.0,True
68,HVAC,True,0.0,True
69,HVAC,True,0.0,True
70,HVAC,True,0.0,True
71,Appliance,True,0.0,True
72,Appliance,True,0.0,True
73,Appliance,True,0.0,True
74,Appliance,True,0.0,True
75,Appliance,True,0.0,True
76,Appliance,True,0.0,True
77,Appliance,True,0.0,True
78,Appliance,True,0.0,True
79,Appliance,True,0.0,True
80,Appliance,True,0.0,True
81,Appliance,True,0.0,True
82,Appliance,True,0.0,True
83,Appliance,True,0.0,True
84,Appliance,True,0.0,True
85,Appliance,True,0.0,True
86,Appliance,True,0.0,True
